"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Department for Education","Department for Education","Further Education Funding","DFE-2100","Grade 7 - National","58185","67219","Manager - FE System and Oversight Grade 7-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","SFSO Operational Delivery - North","DFE-2084","Senior Executive Officer - National","42806","47047","Senior Executive Officer - SFSO Operational Delivery - North SEO-East Midlands","1.00","Other","East Midlands"
"Department for Education","Department for Education","Cyber and Information Security (CISO)","DFE-2485","Grade 7 - National","58185","67219","Manager - Cyber and Information Security (CISO) Grade 7-West Midlands","1.90","Other","West Midlands"
"Department for Education","Department for Education","Funding Policy Implementation","DFE-2609","HEO - National","36000","38229","Higher Executive Officer - Funding Policy Implementation HEO-West Midlands","2.22","Other","West Midlands"
"Department for Education","Department for Education","Technical Education & Qualification Reforms","DFE-2093","Grade 7 - National","58185","67219","Manager - Technical Education & Qualification Reforms​ Grade 6-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Inclusive Mainstream","DFE-2647","Grade 7 - National","58185","67219","Manager - Inclusive Mainstream Grade 7-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","Financial Business Partnering: Schools, Families, Regions and Hub","DFE-2151","Grade 6 - London","74528","82869","Manager - Financial Business Partnering: Schools, Families, Regions and Hub Grade 6-London","1.00","Other","London"
"Department for Education","Department for Education","Regions Group: West Midlands","DFE-2406","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Regions Group: West Midlands Grade 7-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","Education Estates Legal, Land and Planning","DFE-2207","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Education Estates Legal, Land and Planning SEO-North East","1.00","Other","North East"
"Department for Education","Department for Education","Construction Delivery North East, Yorkshire Humber and East Midlands","DFE-2603","HEO - National","36000","38229","Higher Executive Officer - Construction Delivery North East, Yorkshire Humber and East Midlands HEO-North East","1.00","Other","North East"
"Department for Education","Department for Education","Capability, Investments, Analysis and Reporting","DFE-2162","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Capability, Investments, Analysis and Reporting SEO-North East","2.00","Other","North East"
"Department for Education","Department for Education","Education Estates Data Collection and Analysis","DFE-2627","Grade 6 - National","70854","78241","Manager - Education Estates Data Collection and Analysis Grade 6-South West","1.00","Other","South West"
"Department for Education","Department for Education","Education Estates Private Finance","DFE-2211","Grade 6 - London","74528","82869","Manager - Education Estates Private Finance Grade 6-London","1.00","Other","London"
"Department for Education","Department for Education","Education Estates Legal, Land and Planning","DFE-2207","Grade 7 - London","62336","72057","Manager - Education Estates Legal, Land and Planning Grade 7-London","1.00","Other","London"
"Department for Education","Department for Education","Education Estates Portfolio Oversight and Directorate Support","DFE-2648","Grade 7 - London","62336","72057","Manager - Education Estates Portfolio Oversight and Directorate Support Grade 7-London","3.00","Other","London"
"Department for Education","Department for Education","Private Office","DFE-2698","Grade 6 - London","74528","82869","Manager - Private Office Grade 6-London","3.00","Other","London"
"Department for Education","Department for Education","Sustainability and Strategic Projects","DFE-2311","Grade 7 - National","58185","67219","Manager - Disadvantage and Strategic Policy Grade 7-Yorkshire and The Humber","1.86","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","CSC Outcomes, Care Leavers and Capital","DFE-2347","Grade 7 - National","58185","67219","Manager - CSC Outcomes, Care Leavers and Capital Grade 7-Yorkshire and The Humber","0.91","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","CSC Child Protection and Safeguarding","DFE-2337","Grade 6 - National","70854","78241","Manager - CSC Child Protection and Safeguarding Grade 6-Yorkshire and The Humber","2.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","CSC Child Protection and Safeguarding","DFE-2337","Senior Executive Officer - National","42806","47047","Senior Executive Officer - CSC Child Protection and Safeguarding SEO-North East","1.00","Other","North East"
"Department for Education","Department for Education","CSC Looked After Children Placements","DFE-2582","Grade 6 - National","70854","78241","Manager - CSC Looked After Children Placements Grade 6-North West","1.00","Other","North West"
"Department for Education","Department for Education","Admissions, School Organisation, Transport","DFE-2346","HEO - National","36000","38229","Higher Executive Officer - Admissions, School Organisation, Transport HEO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Teachers' Pension Scheme","DFE-2675","Grade 7 - London","62336","72057","Manager - Teachers' Pension Scheme Grade 7-London","1.00","Other","London"
"Department for Education","Department for Education","Strategy and Qualifications","DFE-2341","Grade 6 - National","70854","78241","Manager - Strategy and Qualifications Grade 6-East Midlands","1.00","Other","East Midlands"
"Department for Education","Department for Education","Digital Strategy","DFE-2694","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Digital Strategy SEO-North East","0.81","Other","North East"
"Department for Education","Department for Education","CS Policy Profession Unit","DFE-2498","Grade 7 - National","58185","67219","Manager - CS Policy Profession Unit Grade 7-North West","2.00","Other","North West"
"Department for Education","Department for Education","CSC Regional Cooperatives and Fostering","DFE-2443","Grade 6 - National","70854","78241","Manager - CSC Regional Cooperatives and Fostering Grade 6-North West","1.00","Other","North West"
"Department for Education","Department for Education","DfE Covid-19 Inquiry Response","DFE-2369","Grade 7 - National","58185","67219","Manager - DfE Covid-19 Inquiry Response Grade 7-North West","3.00","Other","North West"
"Department for Education","Department for Education","High Quality Curriculum","DFE-2324","HEO - National","36000","38229","Higher Executive Officer - High Quality Curriculum HEO-North West","0.66","Other","North West"
"Department for Education","Standard and Testing Agency","Standards, Testing and Regulation Directorate","DFE-2135","Grade 7 - National","58185","67219","Manager - Assessment Operations and Services Grade 7-North West","1.59","Other","North West"
"Department for Education","Department for Education","Get Into Teaching","DFE-2677","EO - National","31479","31479","Executive Officer - Get Into Teaching EO-North West","1.00","Other","North West"
"Department for Education","Department for Education","International Placements","DFE-2491","Grade 6 - National","70854","78241","Manager - International Placements Grade 6-North West","1.00","Other","North West"
"Department for Education","Department for Education","English, Maths, Music & Arts","DFE-2418","Grade 7 - National","58185","67219","Manager - English, Maths, Music & Arts Grade 7-North West","1.00","Other","North West"
"Department for Education","Department for Education","Developing Teachers and Leaders","DFE-2670","EO - National","31479","31479","Executive Officer - Developing Teachers and Leaders EO-North West","1.00","Other","North West"
"Department for Education","Department for Education","Life Skills","DFE-2456","Grade 7 - National","58185","67219","Manager - Life Skills Grade 7-North West","3.00","Other","North West"
"Department for Education","Department for Education","Access, Participation and Applications","DFE-2231","Grade 7 - National","58185","67219","Manager - Access, Participation and Applications​ Grade 7-North West","1.00","Other","North West"
"Department for Education","Department for Education","Construction Delivery North West and West Midlands","DFE-2646","Grade 7 - National","58185","67219","Manager - School Rebuilding Grade 7-Unknown","1.00","Other","Unknown"
"Department for Education","Department for Education","Education Estates Portfolio Oversight and Directorate Support","DFE-2648","Grade 7 - National","58185","67219","Manager - Education Estates Portfolio Oversight and Directorate Support Grade 7-North West","1.00","Other","North West"
"Department for Education","Department for Education","Education Estates Portfolio Oversight and Directorate Support","DFE-2648","Grade 6 - National","70854","78241","Manager - Education Estates Portfolio Oversight and Directorate Support Grade 6-North West","1.00","Other","North West"
"Department for Education","Department for Education","Strategic Communications and Campaigns","DFE-2163","HEO - National","36000","38229","Higher Executive Officer - Strategic Communications and Campaigns HEO-North West","2.00","Other","North West"
"Department for Education","Department for Education","Operations and Infrastructure Group","DFE-2536","Grade 7 - National","58185","67219","Manager - Commercial Specialist - Skills Grade 7-North West","1.00","Other","North West"
"Department for Education","Department for Education","Major Projects and Risk","DFE-2608","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Major Projects and Risks SEO-North West","2.00","Other","North West"
"Department for Education","Department for Education","FE Support, Improvement and Provider Engagement","DFE-2394","Grade 7 - National","58185","67219","Manager - FE Support, Improvement and Provider Engagement Grade 7-North West","1.00","Other","North West"
"Department for Education","Department for Education","Higher Education Oversight","DFE-2660","Grade 7 - National","58185","67219","Manager - Lifelong Loan Entitlement Grade 7-North West","0.90","Other","North West"
"Department for Education","Department for Education","Infrastructure & Platforms","DFE-2281","Grade 6 - National","70854","78241","Manager - Infrastructure & Platforms Grade 6-North West","3.00","Other","North West"
"Department for Education","Department for Education","Schools Regulation and Quality","DFE-2212","HEO - National","36000","38229","Higher Executive Officer - Schools Regulation and Quality HEO-North West","1.34","Other","North West"
"Department for Education","Department for Education","HR Services & Specialist Advice","DFE-2001","Grade 7 - National","58185","67219","Manager - HR Services & Specialist Advice Grade 7-East Midlands","2.00","Other","East Midlands"
"Department for Education","Standard and Testing Agency","Standards, Testing and Regulation Directorate","DFE-2135","HEO - National","36000","38229","Higher Executive Officer - Assessment Operations and Services HEO-East Midlands","0.75","Other","East Midlands"
